geoid10,name10,year,hsi_score,hei_score,hvi_score,n_veryhigh
42101026301,263.01,2023,4.12907415,-0.02371847,2.90872358,0
42101027100,271,2023,4.07335333,1.90537821,2.89754164,0
42101029900,299,2023,4.19712004,0.25887754,2.86623005,0
42101026302,263.02,2023,3.88585918,0.25813945,2.84985773,0
42101026500,265,2023,3.98032661,0.5248464,2.84818734,0
42101026800,268,2023,4.21751169,0.33247314,2.83833464,0
42101038300,383,2023,3.50974947,0.84469134,2.82279857,0
42101031101,311.01,2023,3.45392363,1.00760157,2.80558145,0
42101026400,264,2023,4.01935714,0.3703008,2.70495004,0
42101013800,138,2023,4.02653601,-0.25163549,2.68470698,0
42101010100,101,2023,3.67840006,-0.27945904,2.66975818,0
42101038900,389,2023,4.58530435,0.77122787,2.66974708,0
42101011400,114,2023,4.02266192,0.05013526,2.64533468,0
42101024300,243,2023,4.36075713,-0.68091672,2.63737427,0
42101024800,248,2023,4.00386901,0.1628602,2.59541402,0
42101028901,289.01,2023,3.06091543,1.60355997,2.50985308,0
42101017800,178,2023,3.27572665,1.99936264,2.44417458,0
42101008602,86.02,2023,3.05050045,-0.81322428,2.40395342,0
42101027402,274.02,2023,2.88940039,0.42581362,2.37208838,0
42101028100,281,2023,3.30038445,0.27904367,2.36298396,0
42101003300,33,2023,3.23822585,0.72305153,2.34574849,0
42101008000,80,2023,3.12739947,-1.05936723,2.33363595,0
42101004102,41.02,2023,2.89792029,2.36241108,2.31169899,0
42101028700,287,2023,2.44878049,1.1081796,2.28152959,0
42101026200,262,2023,3.47225032,-0.0800984,2.23933569,0
42101010000,100,2023,3.18045089,-0.34144315,2.22400279,0
42101036400,364,2023,4.17299245,6.10310525,2.21460479,0
42101025900,259,2023,3.25973279,-1.12199903,2.18922654,0
42101009100,91,2023,3.17898048,0.18217011,2.15760116,0
42101006400,64,2023,3.41675914,0.29892636,2.07764358,0
42101030501,305.01,2023,2.48864311,0.12762737,2.06606996,0
42101007300,73,2023,2.79728999,-0.19967873,2.06146756,0
42101039000,390,2023,2.43205327,0.64113892,2.01400552,0
42101016600,166,2023,2.82311411,0.08649377,1.95462514,0
42101003701,37.01,2023,2.15061586,0.00997921,1.94928746,0
42101031200,312,2023,2.44476551,0.49419949,1.93575128,0
42101003100,31,2023,2.40569224,-0.090013,1.92836717,0
42101031102,311.02,2023,2.27985982,-0.54717253,1.89165657,0
42101030502,305.02,2023,2.68404999,0.50139498,1.85237506,0
42101025300,253,2023,3.17034096,-0.67660502,1.8319051,0
42101030100,301,2023,2.67608815,-0.35642963,1.8109598,0
42101031300,313,2023,2.25547435,1.85365189,1.76486675,0
42101012100,121,2023,3.35764747,0.7830894,1.73727201,0
42101013700,137,2023,2.29314448,-1.92616775,1.71596109,0
42101006100,61,2023,2.69914964,0.67077349,1.69894745,0
42101003702,37.02,2023,1.72045115,0.72802452,1.69042358,0
42101031401,314.01,2023,1.87026192,2.02340605,1.64234557,0
42101031800,318,2023,2.14373603,0.08954196,1.60243303,0
42101029800,298,2023,2.14233856,-0.22284455,1.52665878,0
42101012204,122.04,2023,2.64432417,1.21246289,1.48796218,0
