geoid10,name10,district_name,hvi_score,hsi_score,hei_score
42101038600,386,Upper Northwest,-6.17628087,-7.64806685,-1.10899113
42101038500,385,Upper Northwest,-6.10957956,-7.72181119,-1.11748335
42101029900,299,Lower Northeast,2.86623005,4.19712004,0.25887754
42101038800,388,Upper Northwest,-4.62366484,-5.708013,-1.16144462
42101038900,389,Upper Northwest,2.66974708,4.58530435,0.77122787
42101037300,373,Lower South,-5.48451964,-7.66934173,-0.25536765
42101037200,372,South,-1.77485997,-2.81900072,1.41645485
42101980600,9806,Lower South,,,
42101033701,337.01,Central Northeast,-0.52735066,-0.67434969,3.0264368
42101026000,260,Upper North,1.41248875,2.26048281,-0.40494493
42101026100,261,Upper North,3.51319449,5.51867327,0.99473986
42101026200,262,Upper North,2.23933569,3.47225032,-0.0800984
42101034801,348.01,Lower Far Northeast,-4.8694087,-6.86701154,0.29597826
42101026302,263.02,Upper North,2.84985773,3.88585918,0.25813945
42101026400,264,Upper North,2.70495004,4.01935714,0.3703008
42101026500,265,Upper North,2.84818734,3.98032661,0.5248464
42101026600,266,Upper North,3.1751648,4.70579602,0.15194874
42101026700,267,Upper North,4.6345838,6.34344383,1.0079473
42101026800,268,Upper North,2.83833464,4.21751169,0.33247314
42101030000,300,Lower Northeast,2.95802237,4.25037041,0.4908422
42101030100,301,Lower Northeast,1.8109598,2.67608815,-0.35642963
42101030200,302,Lower Northeast,0.89625276,1.10627259,-0.10889848
42101030600,306,Lower Northeast,-1.26995808,-1.81426704,0.54919599
42101038300,383,North,2.82279857,3.50974947,0.84469134
42101028200,282,Upper North,4.400811,6.15299483,-0.20215323
42101039000,390,Lower Northeast,2.01400552,2.43205327,0.64113892
42101037800,378,River Wards,-5.04948386,-7.23432864,-0.70063602
42101037700,377,Lower North,-0.267411,-0.50116536,-1.20614789
42101028000,280,Upper North,4.67267892,6.74160556,0.97494354
42101028100,281,Upper North,2.36298396,3.30038445,0.27904367
42101031800,318,Lower Northeast,1.60243303,2.14373603,0.08954196
42101031900,319,North Delaware,-1.45546143,-1.82506504,-0.09295981
42101032000,320,North Delaware,-3.24581531,-4.89458478,-0.23702033
42101032100,321,North Delaware,-0.41584522,-0.44003523,-0.86113291
42101032300,323,North Delaware,-2.10372082,-2.80905431,-0.79505472
42101032500,325,North Delaware,-1.30020922,-1.63124814,0.31226459
42101032600,326,North Delaware,-2.60636773,-3.82694817,-0.85373864
42101989100,9891,North Delaware,3.94959278,7.01296077,0.0
42101032900,329,North Delaware,-2.32715135,-3.09075039,0.29129226
42101033000,330,North Delaware,-2.11339582,-3.3247929,-0.02542688
42101036000,360,Upper Far Northeast,-0.56952061,-1.14982958,2.18912676
42101033200,332,North Delaware,-4.23379948,-5.99786498,-0.32025262
42101980300,9803,Lower Far Northeast,,,
42101035500,355,Upper Far Northeast,-1.54368735,-1.94240794,1.5941654
42101035800,358,Upper Far Northeast,-2.91564444,-3.58910523,1.26463302
42101035900,359,Upper Far Northeast,-2.67835416,-3.34479279,2.03060408
42101036100,361,Lower Far Northeast,-3.71896942,-4.96914581,-0.80554253
42101036203,362.03,Lower Far Northeast,-6.04888368,-8.32378658,-0.77764527
42101036201,362.01,Lower Far Northeast,-5.31892391,-7.38265783,-0.23245011
42101036302,363.02,Lower Far Northeast,-4.68659382,-6.57890646,-0.68509821
42101002802,28.02,South,-2.91896364,-5.05027021,-0.20994911
42101035302,353.02,Lower Far Northeast,-5.04444407,-6.90868044,-0.31725978
42101002801,28.01,South,-1.38189265,-2.61251474,0.24916975
42101036900,369,University Southwest,-4.45059977,-6.7888631,-2.68695889
42101001201,12.01,Central,-7.23059613,-10.91630523,-2.78232683
42101000803,8.03,Central,-6.15555813,-9.27443487,-2.33705469
42101980900,9809,Lower Southwest,,,
42101002702,27.02,South,-5.41794165,-8.2804413,-1.45734148
42101003002,30.02,South,0.88907469,0.88545796,0.03512359
42101003001,30.01,South,-0.5564442,-1.57387933,0.2028533
42101980500,9805,North,,,
42101980700,9807,South,,,
42101002701,27.01,South,-1.43445842,-2.43797057,0.13199816
42101980800,9808,West Park,,,
42101018002,180.02,River Wards,-2.74630753,-4.60605617,0.09470831
42101008801,88.01,University Southwest,-3.14957241,-5.18433448,
42101012201,122.01,West Park,1.0881402,1.9515428,0.30130839
42101009801,98.01,West Park,0.45812621,0.75861822,-1.3477514
42101007101,71.01,University Southwest,5.87833651,8.63184645,2.54043708
